['SEEDS', 0.1]
['RABBIT_FOOT', 0.26]
['SNOW_BALL', 0.29]
['NETHERRACK', 0.3]
['CACTUS', 0.49]
['LOG_2:1', 0.53]
['LOG_2', 0.69]
['MELON', 0.7]
['ICE', 0.71]
['CLAY_BALL', 0.8]
['REDSTONE', 0.84]
['DIAMOND', 0.9]
['GOLD_INGOT', 0.94]
['GRAVEL', 0.98]
['FEATHER', 0.99]
['PUMPKIN', 1.0]
['MAGMA_CREAM', 1.01]
['SUGAR_CANE', 1.04]
['COBBLESTONE', 1.05]
['EMERALD', 1.07]
['IRON_INGOT', 1.15]
['STRING', 1.17]
['INK_SACK:4', 1.2]
['CARROT_ITEM', 1.22]
['POTATO_ITEM', 1.23]
['ENDER_PEARL', 1.27]
['LOG:1', 1.31]
['SLIME_BALL', 1.38]
['COAL', 1.39]
['ROTTEN_FLESH', 1.48]
['BROWN_MUSHROOM', 1.54]
['LOG', 1.68]
['RABBIT_HIDE', 1.74]
['RAW_BEEF', 1.75]
['BONE', 1.78]
['RAW_FISH:2', 1.8]
['PRISMARINE_SHARD', 1.85]
['LOG:2', 1.86]
['LOG:3', 1.87]
['SULPHUR', 1.89]
['SAND', 1.92]
['ENDER_STONE', 2.08]
['RAW_FISH:3', 2.16]
['INK_SACK:3', 2.25]
['NETHER_STALK', 2.28]
['RAW_FISH', 2.36]
['PACKED_ICE', 2.38]
['WHEAT', 2.41]
['FLINT', 2.51]
['RAW_CHICKEN', 2.55]
['SPOOKY_BAIT', 2.7]
['RAW_FISH:1', 2.83]
['MUTTON', 2.9]
['CARROT_BAIT', 3.01]
['LEATHER', 3.06]
['REVENANT_FLESH', 3.08]
['PORK', 3.2]
['BLAZE_ROD', 3.23]
['RABBIT', 3.27]
['OBSIDIAN', 3.31]
['GLOWSTONE_DUST', 3.43]
['SNOW_BLOCK', 3.5]
['RED_MUSHROOM', 3.74]
['TARANTULA_WEB', 3.86]
['PRISMARINE_CRYSTALS', 4.53]
['SPIDER_EYE', 4.66]
['QUARTZ', 5.23]
['ENCHANTED_SEEDS', 5.95]
['ENCHANTED_DIAMOND', 6.34]
['HUGE_MUSHROOM_1', 7.02]
['MINNOW_BAIT', 7.1]
['GHAST_TEAR', 7.4]
['HUGE_MUSHROOM_2', 7.46]
['ENCHANTED_SNOW_BLOCK', 7.74]
['WOLF_TOOTH', 8.26]
['ENCHANTED_CLAY_BALL', 8.39]
['ENCHANTED_FEATHER', 8.54]
['ENCHANTED_ENDER_PEARL', 9.61]
['ENCHANTED_BREAD', 11.81]
['ENCHANTED_MELON', 13.24]
['SPIKED_BAIT', 18.3]
['SPONGE', 19.28]
['FISH_BAIT', 20.42]
['ENCHANTED_RAW_BEEF', 26.11]
['INK_SACK', 27.64]
['ICE_BAIT', 28.06]
['ENCHANTED_LAPIS_LAZULI', 30.36]
['ENCHANTED_ACACIA_LOG', 31.0]
['HAY_BLOCK', 35.96]
['ENCHANTED_RAW_CHICKEN', 37.02]
['ENCHANTED_RABBIT', 37.05]
['ENCHANTED_CARROT', 38.56]
['ENCHANTED_DARK_OAK_LOG', 38.6]
['ENCHANTED_CLOWNFISH', 39.63]
['ENCHANTED_MAGMA_CREAM', 40.99]
['ENCHANTED_EMERALD', 42.33]
['ENCHANTED_GHAST_TEAR', 44.27]
['ENCHANTED_COBBLESTONE', 44.35]
